Wall time,Step,Value
1536585336.7973335,0,0.140625
1536585368.2701836,1,0.19140625
1536585399.5843482,2,0.1484375
1536585431.0664952,3,0.19921875
1536585462.3552074,4,0.13671875
1536585493.7186744,5,0.1875
1536585525.0841043,6,0.19140625
1536585556.4875362,7,0.1796875
1536585587.7265756,8,0.2265625
1536585619.1393964,9,0.26953125
1536585650.6268735,10,0.27734375
1536585682.0166783,11,0.25390625
1536585713.3690236,12,0.2421875
1536585744.7553623,13,0.23828125
1536585776.150173,14,0.28125
1536585807.6250625,15,0.26953125
1536585839.027529,16,0.3125
1536585870.5354984,17,0.2578125
1536585901.8761444,18,0.28515625
1536585933.2971,19,0.265625
1536585964.817678,20,0.265625
1536585996.2546394,21,0.3671875
1536586027.674068,22,0.32421875
1536586059.0647502,23,0.32421875
1536586090.4730916,24,0.29296875
1536586121.8389282,25,0.33984375
1536586153.31144,26,0.37890625
1536586184.7912621,27,0.3203125
1536586216.190245,28,0.359375
1536586247.6352642,29,0.34375
1536586279.2160554,30,0.41796875
1536586310.5874686,31,0.38671875
1536586342.0073674,32,0.3671875
1536586373.3543856,33,0.35546875
1536586404.794629,34,0.34765625
1536586436.1400037,35,0.3671875
1536586467.5451121,36,0.359375
1536586498.9746222,37,0.35546875
1536586530.3855956,38,0.42578125
1536586561.8457925,39,0.42578125
1536586593.3354762,40,0.32421875
1536586624.853712,41,0.39453125
1536586656.2166305,42,0.3359375
1536586687.6460721,43,0.4453125
1536586719.0487022,44,0.4453125
1536586750.5151746,45,0.4296875
1536586781.9210336,46,0.421875
1536586813.3900359,47,0.41015625
1536586844.6894214,48,0.44140625
1536586876.1692393,49,0.5078125
1536586907.6312728,50,0.3671875
1536586939.142257,51,0.40625
1536586970.512244,52,0.44140625
1536587001.9546962,53,0.453125
1536587033.251922,54,0.43359375
1536587064.6499033,55,0.45703125
1536587095.9489462,56,0.4375
1536587127.4306202,57,0.42578125
1536587158.8482118,58,0.48828125
1536587190.384105,59,0.45703125
1536587222.002678,60,0.45703125
1536587253.3835845,61,0.47265625
1536587284.8041298,62,0.4296875
1536587316.2879076,63,0.51171875
1536587347.8361616,64,0.44140625
1536587379.2786663,65,0.4296875
1536587410.7222202,66,0.44921875
1536587442.1731038,67,0.44140625
1536587473.5597348,68,0.51953125
1536587504.9929225,69,0.49609375
1536587536.5631979,70,0.3984375
1536587568.070421,71,0.48828125
1536587599.6295562,72,0.48046875
1536587631.0305884,73,0.47265625
1536587662.5395231,74,0.44921875
1536587693.9963112,75,0.44140625
1536587725.4622571,76,0.5390625
1536587756.8567905,77,0.4921875
1536587788.2472503,78,0.44921875
1536587819.7734287,79,0.484375
1536587851.3211403,80,0.4453125
1536587882.7143655,81,0.53125
1536587914.0826995,82,0.53515625
1536587945.6515946,83,0.5
1536587977.0218654,84,0.4765625
